AeroDyn airfoil file Created with QBlade CE v 2.0.6.4_beta unix on 29.11.2023 at 11:37:12 Compatible with AeroDyn v13.0.
Polar "DU25_A17.dat" on Foil "DU25_A17_coords" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
    -7.450 -0.555000  0.011400 -0.078200
    -6.420 -0.413000  0.009400 -0.090400
    -5.400 -0.271000  0.008600 -0.100600
    -5.000 -0.220000  0.007300 -0.110700
    -4.500 -0.152000  0.007100 -0.113500
    -4.000 -0.084000  0.007000 -0.116200
    -3.500 -0.018000  0.006900 -0.118600
    -3.000  0.049000  0.006800 -0.120900
    -2.500  0.115000  0.006800 -0.123100
    -2.000  0.181000  0.006800 -0.125200
    -1.500  0.247000  0.006700 -0.127200
    -1.000  0.312000  0.006700 -0.129300
    -0.500  0.377000  0.006700 -0.131100
     0.000  0.444000  0.006500 -0.133000
     0.500  0.508000  0.006500 -0.134700
     1.000  0.573000  0.006600 -0.136400
     1.500  0.636000  0.006700 -0.138000
     2.000  0.701000  0.006800 -0.139600
     2.500  0.765000  0.006900 -0.141100
     3.000  0.827000  0.007000 -0.142400
     3.500  0.890000  0.007100 -0.143700
     4.000  0.952000  0.007300 -0.144800
     4.500  1.013000  0.007600 -0.145600
     5.000  1.062000  0.007900 -0.144500
     6.000  1.161000  0.009900 -0.141900
     6.500  1.208000  0.011700 -0.140300
     7.000  1.254000  0.013200 -0.138200
     7.500  1.301000  0.014300 -0.136200
     8.000  1.336000  0.015300 -0.132000
     8.500  1.369000  0.016500 -0.127600
     9.000  1.400000  0.018100 -0.123400
     9.500  1.428000  0.021100 -0.119300
    10.000  1.442000  0.026200 -0.115200
    10.500  1.427000  0.033600 -0.111500
    11.000  1.374000  0.042000 -0.108100
    11.500  1.316000  0.051500 -0.105200
    12.000  1.277000  0.060100 -0.102600
    12.500  1.250000  0.069300 -0.100000
    13.000  1.246000  0.078500 -0.098000
    13.500  1.247000  0.088800 -0.096900
    14.000  1.256000  0.100000 -0.096800
    14.500  1.260000  0.110800 -0.097300
    15.000  1.271000  0.121900 -0.098100
    15.500  1.281000  0.132500 -0.099200
    16.000  1.289000  0.143300 -0.100600
    16.500  1.294000  0.154100 -0.102300
    17.000  1.304000  0.164900 -0.104200
    17.500  1.309000  0.175400 -0.106400
    18.000  1.315000  0.184500 -0.108200
    18.500  1.320000  0.195300 -0.111000
    19.000  1.330000  0.206100 -0.114300
    19.500  1.343000  0.217000 -0.117900
    20.000  1.354000  0.228000 -0.121900
    20.500  1.359000  0.239000 -0.126100
    21.000  1.360000  0.253600 -0.130300
    22.000  1.325000  0.281400 -0.137500
    23.000  1.288000  0.309800 -0.144600
    24.000  1.251000  0.338600 -0.151500
    25.000  1.215000  0.367800 -0.158400
    26.000  1.181000  0.397200 -0.165100
    28.000  1.120000  0.456300 -0.178100
    30.000  1.076000  0.514900 -0.190400
    32.000  1.056000  0.572000 -0.201700
    35.000  1.066000  0.654800 -0.217300
    40.000  1.064000  0.790100 -0.241800
    45.000  1.035000  0.919000 -0.265000
    50.000  0.980000  1.037800 -0.286700
    55.000  0.904000  1.143400 -0.307200
    60.000  0.810000  1.233300 -0.326500
    65.000  0.702000  1.305500 -0.344600
    70.000  0.582000  1.358700 -0.361600
    75.000  0.456000  1.392200 -0.377500
    80.000  0.326000  1.406300 -0.392100
    85.000  0.197000  1.404200 -0.405700
    90.000  0.072000  1.398500 -0.418000
    95.000 -0.050000  1.397300 -0.428900
   100.000 -0.170000  1.381000 -0.438500
   105.000 -0.287000  1.349800 -0.446400
   110.000 -0.399000  1.304100 -0.452400
   115.000 -0.502000  1.244200 -0.456300
   120.000 -0.596000  1.170900 -0.457700
   125.000 -0.677000  1.085200 -0.456300
   130.000 -0.743000  0.988300 -0.451400
   135.000 -0.792000  0.881800 -0.442500
   140.000 -0.821000  0.767600 -0.428800
   145.000 -0.826000  0.648100 -0.409500
   150.000 -0.806000  0.526400 -0.383600
   155.000 -0.758000  0.406000 -0.349700
   160.000 -0.679000  0.291200 -0.306500
   170.000 -0.735000  0.099500 -0.370600
   175.000 -0.368000  0.035600 -0.184600
   180.000  0.000000  0.020200  0.000000
   180.000  0.000000  0.020200  0.000000
